,place,location,point,lat,lon
1639,"Batavia, West Indies",,,,
1641,"Canton, China, Amsterdam",,,,
1643,"Mosbach on the Neckar, Rhein-Pfaltz",,,,
1649,"Hillersleben, Magdeburg",,,,
1651,"Ord Zeyst, H^olland, May",,,,
1653,"Marienborn, Wetteravia",,,,
1654,"London, Sept",,,,
1655,"Angerstein, Goettingen, Germany",,,,
1657,Hamilton (York) PA,,,,
1658,Trumbaursville,,,,
1659,"Thueringen, Saxe Gotha, Germany",,,,
1661,Raritan (Som) NJ,,,,
1662,East Camp (Ulster) NY,,,,
1663,Hyde Park (Dutehess) NY,,,,
1665,"Hartwig, Otsego co, NY",,,,
1666,"Artern, Mansfield, Saxony",,,,
1670,"Pausa, Voigtland",,,,
1671,University of Leipsic,,,,
1674,"Swedish Settlements,  NJ",,,,
1679,"Bethel and Lebanon, PA",,,,
1689,New Windsor (Qrange) NY,,,,
1690,Cornwall (Qrange) NY,,,,
1693,Qxford (Chester) PA,,,,
1694,"Middletown, Del and Appoquinimink, Del",,,,
1695,Radnor in Newtown (Del) PA,,,,
1696,"Mosbach, PAlatinate, Germany",,,,
1697,"Nuenkirch, Schaffhausen, Switzerland",,,,
1702,Coxestown (Dauphin) PA,,,,
1708,Allen & Lehigh (Northampton) PA,,,,
1712,Upper Leacock (Lane) PA,,,,
1715,Rapho (Lane) PA,,,,
1716,North Lebanon (Leb) PA,,,,
1719,"Goshen, Redstone Settlement, PA",,,,
1720,Letterkenney PA,,,,
1721,Martic (Lane) PA,,,,
1722,Lower Chancefield (York) Paar,,,,
1724,"Webenheim, Zweibruecken, Germany",,,,
1730,"Philippi, NY",,,,
1732,"Lower Aquebogue, Long Island, NY",,,,
1738,Wacovia NJ,,,,
1745,University of Halle,,,,
1747,"U of Franecker, Holland",,,,
1748,Futnam KY,,,,
1750,"Boerstel, Sweden",,,,
1753,Lower Saueon (Northampton) PA,,,,
1755,Pennsboro (Cumb) PA,,,,
1756,"Trendenstadt, Wurtemberg",,,,
1760,"Lindhelm, near FrankfortontheMain, , a",,,,
1764,"Shrewsbury, all in Monmouth Co, NJ",,,,
1768,U of Leipzig,,,,
1773,"Hernndyck, Holland",,,,
1774,Gros Hennersdorf,,,,
1778,Wurtemburg in Hyde Park (Dutchess) NY,,,,
1780,JOHN FREDERICK RIES (or Reis),,,,
1796,Taghkanie (Columbia) NY,,,,
1797,Squampawmoek,,,,
1801,"Kreutznach, PAlatinate, Germany",,,,
1802,"Niederlinzweiler, Nassau-Saarbrueck",,,,
1808,"Hoehenheim, Baden, Germany",,,,
1809,Gnadenhuetten (Tuscarawas) Ohio,,,,
1810,"Pachgatgoch (near Kent, Connecticut)",,,,
1812,Lanuntutenmunk PA,,,,
1813,"Hildersheim, Germany",,,,
1814,Oley Hills (Berks) PA,,,,
1816,Lower ]VIacungie (Lehigh) Pa Dee,,,,
1823,Mackiwihilusing mission,,,,
1825,"Bisehofswerda, Saxony",,,,
1826,Maeungie (Lehigh) PA,,,,
1832,"Whitney, County Oxford, England",,,,
1833,"Giessen, Hesse-Darmstadt, Germany",,,,
1837,"Freinsheim, Rhine, PAlatinate",,,,
1839,"Markoebel, Nassau",,,,
1842,Upper Salford (Montg) PA,,,,
1847,"Weisenberg, Ziegel's",,,,
1851,Reyen Germany,,,,
1852,Kirchhard Germany,,,,
1855,Trexlerstown,,,,
1858,Quittopehille Lebanon PA,,,,
1859,"Lititz, minister in rural distriets",,,,
1860,Graeeham (Frederiek) MD,,,,
1865,Christianspring,,,,
1866,Hungar's Paris,,,,
1867,Hungar's Parish (Northampton) Va,,,,
1869,Annapoli,,,,
1871,Chiehester (Delaware) PA,,,,
1873,"St Gall, Switzeriand",,,,
1875,Mulhouse and Basel,,,,
1882,Lancaster co East Cocalico PA,,,,
1884,York co: Hellam,,,,
1885,"Long Green, Lower Bermudian",,,,
1888,Westminster Parish Anne Arundel MD,,,,
1893,Secretary to David Zeisberger,,,,
1895,JOHN JACOB RIESS ( Riesz),,,,
1897,"New Gnadenhuetten, Ohio",,,,
1898,AUentown (Lehigh) PA,,,,
1900,JOHN JOSEPH SCHEBOSH (Running Water),,,,
1905,"Windham, New Hampshire, Oct Apr",,,,
1906,Upper Darby (Del) PA,,,,
1907,Pawling (Dutehess) NY,,,,
1913,"Temple-Patrick, Ireland",,,,
1914,"Leysingen, Wurtemberg, Germany",,,,
1915,Sunbury (Northampton) PA,,,,
1916,Waldoboroug,,,,
1917,"Mid-Calder, Linlithgow County Scotland",,,,
1919,"Bruynswick, Dutch Ref",,,,
1920,Fagg's Manor (Chester) PA,,,,
1923,Vice-president,,,,
1931,U of Koenigsberg,,,,
1936,Warwisqueake Parish (Isle of Wight) Va,,,,
1946,"Luetzellinden, Nassau-Weilburg, Germany",,,,
1947,"Baltimor, GS",,,,
1948,University of Giessen and Halle,,,,
1949,Lower Windsor (Berks) PA,,,,
1950,"Mambaechel, Zweibruecken, Germany",,,,
1952,"Senior, went to Laplandeb",,,,
1955,Lower West Nottingham PA,,,,
1956,Lower West Nottingham (Cecil) MD,,,,
1957,"Dilsheim, Germany",,,,
1958,"Savannah, Ga, Oct Jan",,,,
1963,Beckford Parish (Shenandoah) VA,,,,
1965,"Kaiserslauten, Palatinate, Germany",,,,
1968,Upper Leaeoek (Lane) PA,,,,
1970,Oley (Bucks) PA,,,,
1978,Qley (Berks),,,,
1980,Pottstown (Montg) PA,,,,
1982,"Donegal, Jan",,,,
1984,Greenwich in Cohansey (Cumberland) NJ,,,,
1985,"Newark, NJug June",,,,
1987,Weybridg,,,,
1989,"Piermont, NHeb",,,,
1990,"Greenshaw, Ireland",,,,
1994,Mereersburg PA,,,,
1996,Taylor's Bridge (NC) Del,,,,
1999,Rosbrugh,,,,
2003,JOHN RUDOLPH KITTWEILER ( Kindweiler),,,,
2004,Swedesborough NJ,,,,
2005,Tory refugee to NY,,,,
2007,"Leeward Islands, West Indies",,,,
2011,"Slate Ridge, ept",,,,
2013,"Newport Pagnel, Bucks, England",,,,
2021,"Lower Pennsborough, June",,,,
2023,"Ashby River, South Carolina",,,,
2026,Kingsto,,,,
2029,Pencader Hundred (New Castle) Del,,,,
2030,Kenton Hundred (Kent) Del,,,,
2033,"Fretheme, Co Gloucester, England",,,,
2034,"Southampto, NY",,,,
2035,"Zozenheim, PAlatinate",,,,
2037,New Providence ept,,,,
2038,"Middletown, Lower Swatara (Dauphin) PA",,,,
2039,JOHN THEOPHILUS ENGELOND (or John Gott,,,,
2041,"Hempstea, NY",,,,
2042,"Oxford, assistant",,,,
2047,"Frederie,",,,,
2048,"Zweibrueeken, PAlatinate, Germany",,,,
2049,Skirbec,,,,
2050,"Regius Prof, of Divinity",,,,
2055,Rye (Westehester) NY,,,,
2056,White Plains (Westehester) NY,,,,
2059,JOHN H WICKEL (or Weikel),,,,
2061,JOHN WICKSELI (or Wiesell),,,,
2063,"Duerkheim, PAlatinate, Germany",,,,
2065,"Simmern, Coblenz, Germany",,,,
2072,Briek Chure,,,,
2076,"Neustadt on the Aisel, Mittelfranken, Bavaria",,,,
2079,JOHN WILIIAM STRÄ schoolteacher,,,,
2082,"Hempfiel, July",,,,
2088,"Lower Octoraro, PA",,,,
2089,"Yester, Edinburgh, Scotland",,,,
2095,"Suffolk County, Long Island, NY",,,,
2098,St Peterzell Germany,,,,
2099,Winehester (Frederiek) Va,,,,
2100,"Frederiek, Glade (Garrett) MD",,,,
